f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	0.201893	
0.0585938	-0.238047	
0.117188	-0.294387	
0.175781	-0.228948	
0.234375	-0.175447	
0.292969	-0.153632	
0.351563	-0.167184	
0.410157	-0.206533	
0.46875	-0.239129	
0.527344	-0.224083	
0.585938	-0.147669	
0.644532	-0.0380862	
0.703126	0.0558669	
0.76172	0.0928563	
0.820313	0.0522232	
0.878907	-0.0462484	
0.937501	-0.110989	
0.996095	-0.0249942	
1.05469	0.226972	
1.11328	0.419913	
1.17188	-0.0266744	
1.23047	-1.76086	
1.28906	-3.69857	
1.34766	-1.67741	
1.40625	4.06733	
1.46485	3.31324	
