f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	0.386658	
0.0585938	0.775948	
0.117188	0.957253	
0.175781	0.996299	
0.234375	0.976216	
0.292969	0.929626	
0.351563	0.872979	
0.410157	0.814987	
0.46875	0.765994	
0.527344	0.73938	
0.585938	0.739648	
0.644532	0.752055	
0.703126	0.745653	
0.76172	0.683234	
0.820313	0.531373	
0.878907	0.286284	
0.937501	0.0205704	
0.996095	-0.122477	
1.05469	-0.00637944	
1.11328	0.335313	
1.17188	0.356132	
1.23047	-0.717492	
1.28906	-2.20927	
1.34766	-1.89724	
1.40625	1.49136	
1.46485	12.9922	
