f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	1.33337	
0.0585938	1.07554	
0.117188	1.04426	
0.175781	1.05939	
0.234375	1.051	
0.292969	1.02634	
0.351563	0.992291	
0.410157	0.950001	
0.46875	0.908568	
0.527344	0.887183	
0.585938	0.896102	
0.644532	0.921839	
0.703126	0.933313	
0.76172	0.892327	
0.820313	0.755669	
0.878907	0.49555	
0.937501	0.157614	
0.996095	-0.132201	
1.05469	-0.223787	
1.11328	0.103034	
1.17188	1.11567	
1.23047	2.74519	
1.28906	4.40822	
1.34766	5.04029	
1.40625	4.77402	
1.46485	13.6458	
