f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	0.784644	
0.0585938	2.0687	
0.117188	2.45493	
0.175781	2.40475	
0.234375	2.28704	
0.292969	2.1971	
0.351563	2.15734	
0.410157	2.15555	
0.46875	2.16798	
0.527344	2.17953	
0.585938	2.18851	
0.644532	2.19681	
0.703126	2.19974	
0.76172	2.18196	
0.820313	2.1175	
0.878907	1.98392	
0.937501	1.78523	
0.996095	1.51994	
1.05469	1.10356	
1.11328	0.304154	
1.17188	-1.2816	
1.23047	-4.02185	
1.28906	-7.10951	
1.34766	-8.99615	
1.40625	-8.54898	
1.46485	-5.58314	
