f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	-0.891513	
0.0585938	-0.0844054	
0.117188	0.327585	
0.175781	0.478203	
0.234375	0.53498	
0.292969	0.558407	
0.351563	0.57813	
0.410157	0.604779	
0.46875	0.637135	
0.527344	0.670085	
0.585938	0.699263	
0.644532	0.723012	
0.703126	0.744384	
0.76172	0.768248	
0.820313	0.788648	
0.878907	0.77801	
0.937501	0.702711	
0.996095	0.564692	
1.05469	0.424163	
1.11328	0.342302	
1.17188	0.279871	
1.23047	-0.0296385	
1.28906	-1.4969	
1.34766	-6.11326	
1.40625	-11.4942	
1.46485	-9.01482	
