f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0.234375	12.7822	
0.292969	13.0775	
0.351563	14.3676	
0.410157	16.6243	
0.46875	19.6553	
0.527344	23.1094	
0.585938	26.6365	
0.644532	30.3148	
0.703126	34.5989	
0.76172	39.8245	
0.820313	46.0865	
0.878907	53.2814	
0.937501	60.8978	
0.996095	66.7994	
1.05469	67.4901	
