f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0.102539	19.3505	
0.109863	23.6457	
0.117188	27.7219	
0.124512	31.3399	
0.131836	34.3223	
0.13916	36.6068	
0.146485	38.2527	
0.153809	39.3991	
0.161133	40.2023	
0.168457	40.788	
0.175781	41.2292	
0.183106	41.5428	
0.19043	41.6965	
0.197754	41.6214	
0.205078	41.2311	
0.212403	40.4471	
0.219727	39.2268	
0.227051	37.5826	
0.234375	35.5853	
0.241699	33.3527	
0.249024	31.0316	
0.256348	28.7772	
0.263672	26.7332	
0.270996	25.0129	
0.278321	23.687	
0.285645	22.7811	
0.292969	22.2829	
0.300293	22.1559	
0.307617	22.3534	
0.314942	22.8296	
0.322266	23.5444	
0.32959	24.465	
0.336914	25.5646	
0.344239	26.8185	
0.351563	28.2007	
0.358887	29.6799	
0.366211	31.2158	
0.373536	32.7593	
0.38086	34.2568	
0.388184	35.6625	
0.395508	36.9555	
0.402832	38.153	
0.410157	39.3115	
0.417481	40.5116	
0.424805	41.8343	
0.432129	43.3374	
0.439454	45.0408	
0.446778	46.9229	
0.454102	48.923	
0.461426	50.9459	
0.46875	52.867	
0.476075	54.5406	
0.483399	55.8171	
0.490723	56.5693	
0.498047	56.7195	
0.505372	56.251	
0.512696	55.1926	
0.52002	53.5837	
0.527344	51.4419	
0.534669	48.7619	
0.541993	45.5697	
0.549317	42.023	
0.556641	38.473	
0.563965	35.3653	
0.57129	33.0124	
0.578614	31.4666	
0.585938	30.594	
0.593262	30.2193	
0.600587	30.2081	
0.607911	30.4815	
0.615235	30.9977	
0.622559	31.7293	
0.629883	32.6481	
0.637208	33.7188	
0.644532	34.9027	
0.651856	36.1651	
0.65918	37.4821	
0.666505	38.842	
0.673829	40.2425	
0.681153	41.6856	
0.688477	43.1737	
0.695801	44.7091	
0.703126	46.2967	
0.71045	47.9479	
0.717774	49.681	
0.725098	51.5147	
0.732423	53.4518	
0.739747	55.4521	
0.747071	57.407	
0.754395	59.1431	
0.76172	60.4811	
0.769044	61.3256	
0.776368	61.7065	
0.783692	61.7368	
0.791016	61.5383	
0.798341	61.1974	
0.805665	60.7604	
0.812989	60.2491	
0.820313	59.6786	
0.827638	59.0684	
0.834962	58.4449	
0.842286	57.8364	
0.84961	57.2662	
0.856934	56.7489	
0.864259	56.2912	
0.871583	55.8976	
0.878907	55.5758	
0.886231	55.3407	
0.893556	55.2156	
0.90088	55.2294	
0.908204	55.4108	
0.915528	55.7827	
0.922852	56.356	
0.930177	57.1279	
0.937501	58.084	
0.944825	59.2042	
0.952149	60.469	
0.959474	61.8621	
0.966798	63.3678	
0.974122	64.9636	
0.981446	66.611	
0.988771	68.2546	
0.996095	69.8336	
1.00342	71.3016	
1.01074	72.6421	
1.01807	73.867	
1.02539	75.0029	
1.03272	76.0765	
1.04004	77.1079	
1.04736	78.1129	
1.05469	79.1099	
1.06201	80.1305	
1.06934	81.2318	
1.07666	82.5127	
1.08399	84.1265	
1.09131	86.2429	
1.09863	88.7973	
