f (THz) - Reference	Amplitude - Reference	f (THz) - Signal	Amplitude - Signal	f (THz) - Drude	Amplitude - Drude	
0.117188	0.0759585	0.117188	0.0149998	0.117188	0.0575118	
0.175781	0.114718	0.175781	0.0196146	0.175781	0.0869141	
0.234375	0.150059	0.234375	0.0231018	0.234375	0.11379	
0.292969	0.175334	0.292969	0.0245288	0.292969	0.133095	
0.351563	0.186723	0.351563	0.023314	0.351563	0.14194	
0.410157	0.183833	0.410157	0.0196616	0.410157	0.139955	
0.46875	0.17001	0.46875	0.0149031	0.46875	0.129668	
0.527344	0.15125	0.527344	0.0107823	0.527344	0.115589	
0.585938	0.132893	0.585938	0.00803674	0.585938	0.101781	
0.644532	0.116342	0.644532	0.00610846	0.644532	0.0893209	
0.703126	0.099784	0.703126	0.00440202	0.703126	0.0768009	
0.76172	0.0820853	0.76172	0.00287808	0.76172	0.0633545	
0.820313	0.0645495	0.820313	0.00171643	0.820313	0.049963	
0.878907	0.0492359	0.878907	0.00100182	0.878907	0.0382253	
0.937501	0.0368669	0.937501	0.000627514	0.937501	0.0287131	
0.996095	0.0267646	0.996095	0.00039987	0.996095	0.0209126	
1.05469	0.0182864	1.05469	0.000227175	1.05469	0.0143369	
1.11328	0.0116052	1.11328	0.000109209	1.11328	0.00913009	
