f (THz) - Reference	Amplitude - Reference	f (THz) - Signal	Amplitude - Signal	f (THz) - Drude	Amplitude - Drude	
0.117188	0.0759585	0.117188	0.0130552	0.117188	0.0575118	
0.175781	0.114718	0.175781	0.0168416	0.175781	0.0869141	
0.234375	0.150059	0.234375	0.0196511	0.234375	0.11379	
0.292969	0.175334	0.292969	0.0207095	0.292969	0.133095	
0.351563	0.186723	0.351563	0.0194686	0.351563	0.14194	
0.410157	0.183833	0.410157	0.0161189	0.410157	0.139955	
0.46875	0.17001	0.46875	0.0119139	0.46875	0.129668	
0.527344	0.15125	0.527344	0.00843461	0.527344	0.115589	
0.585938	0.132893	0.585938	0.00627084	0.585938	0.101781	
0.644532	0.116342	0.644532	0.0048246	0.644532	0.0893209	
0.703126	0.099784	0.703126	0.00352034	0.703126	0.0768009	
0.76172	0.0820853	0.76172	0.00231647	0.76172	0.0633545	
0.820313	0.0645495	0.820313	0.00138268	0.820313	0.049963	
0.878907	0.0492359	0.878907	0.000806201	0.878907	0.0382253	
0.937501	0.0368669	0.937501	0.000500131	0.937501	0.0287131	
0.996095	0.0267646	0.996095	0.000309213	0.996095	0.0209126	
1.05469	0.0182864	1.05469	0.000167621	1.05469	0.0143369	
1.11328	0.0116052	1.11328	7.58294E-5	1.11328	0.00913009	
