f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0.102539	36.0663	
0.109863	38.0692	
0.117188	40.3214	
0.124512	42.8303	
0.131836	45.5416	
0.13916	48.3382	
0.146485	51.049	
0.153809	53.4732	
0.161133	55.4263	
0.168457	56.8026	
0.175781	57.6197	
0.183106	58.005	
0.19043	58.1337	
0.197754	58.1644	
0.205078	58.2067	
0.212403	58.3177	
0.219727	58.513	
0.227051	58.781	
0.234375	59.094	
0.241699	59.4174	
0.249024	59.7175	
0.256348	59.9717	
0.263672	60.1773	
0.270996	60.3523	
0.278321	60.5272	
0.285645	60.7321	
0.292969	60.986	
0.300293	61.2937	
0.307617	61.6476	
0.314942	62.0336	
0.322266	62.4373	
0.32959	62.85	
0.336914	63.2729	
0.344239	63.7188	
0.351563	64.2105	
0.358887	64.7767	
0.366211	65.4469	
0.373536	66.2455	
0.38086	67.1881	
0.388184	68.2779	
0.395508	69.5042	
0.402832	70.8424	
0.410157	72.2562	
0.417481	73.7053	
0.424805	75.1565	
0.432129	76.5933	
0.439454	78.0172	
0.446778	79.4405	
0.454102	80.8732	
0.461426	82.3098	
0.46875	83.7214	
0.476075	85.0536	
0.483399	86.2342	
0.490723	87.1922	
0.498047	87.8796	
0.505372	88.2873	
0.512696	88.4446	
0.52002	88.4084	
0.527344	88.2522	
0.534669	88.0618	
0.541993	87.9349	
0.549317	87.9738	
0.556641	88.2562	
0.563965	88.7889	
0.57129	89.4868	
0.578614	90.2199	
0.585938	90.8878	
0.593262	91.4509	
0.600587	91.9126	
0.607911	92.2895	
0.615235	92.5965	
0.622559	92.8472	
0.629883	93.0626	
0.637208	93.2773	
0.644532	93.5398	
0.651856	93.9059	
0.65918	94.4307	
0.666505	95.1581	
0.673829	96.1115	
0.681153	97.2845	
0.688477	98.6364	
0.695801	100.095	
0.703126	101.572	
0.71045	102.988	
0.717774	104.294	
0.725098	105.497	
0.732423	106.647	
0.739747	107.816	
0.747071	109.053	
0.754395	110.332	
0.76172	111.556	
0.769044	112.606	
0.776368	113.433	
0.783692	114.081	
0.791016	114.635	
0.798341	115.157	
0.805665	115.652	
0.812989	116.072	
0.820313	116.344	
0.827638	116.425	
0.834962	116.355	
0.842286	116.275	
0.84961	116.372	
0.856934	116.833	
0.864259	117.813	
0.871583	119.441	
0.878907	121.814	
0.886231	124.947	
0.893556	128.572	
0.90088	131.63	
0.908204	132.212	
0.915528	129.865	
0.922852	126.378	
0.930177	123.195	
0.937501	120.824	
0.944825	119.377	
0.952149	118.866	
0.959474	119.286	
0.966798	120.634	
0.974122	122.898	
0.981446	126.028	
0.988771	129.903	
0.996095	134.253	
1.00342	138.539	
1.01074	141.765	
1.01807	142.716	
1.02539	141.07	
1.03272	137.721	
1.04004	133.669	
1.04736	129.516	
1.05469	125.607	
1.06201	122.163	
1.06934	119.339	
1.07666	117.264	
1.08399	116.095	
1.09131	116.074	
1.09863	117.437	
