f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0.102539	28.2616	
0.109863	30.5951	
0.117188	33.0284	
0.124512	35.5418	
0.131836	38.0739	
0.13916	40.5109	
0.146485	42.6913	
0.153809	44.4345	
0.161133	45.5964	
0.168457	46.1301	
0.175781	46.1092	
0.183106	45.6925	
0.19043	45.059	
0.197754	44.3581	
0.205078	43.6908	
0.212403	43.111	
0.219727	42.6378	
0.227051	42.2683	
0.234375	41.9904	
0.241699	41.7941	
0.249024	41.678	
0.256348	41.652	
0.263672	41.7339	
0.270996	41.9424	
0.278321	42.2893	
0.285645	42.7752	
0.292969	43.3894	
0.300293	44.1125	
0.307617	44.9204	
0.314942	45.7879	
0.322266	46.6909	
0.32959	47.6097	
0.336914	48.5314	
0.344239	49.4523	
0.351563	50.3787	
0.358887	51.326	
0.366211	52.3155	
0.373536	53.37	
0.38086	54.5092	
0.388184	55.7471	
0.395508	57.0904	
0.402832	58.5393	
0.410157	60.0883	
0.417481	61.7268	
0.424805	63.4385	
0.432129	65.202	
0.439454	66.9917	
0.446778	68.7816	
0.454102	70.5484	
0.461426	72.2726	
0.46875	73.9334	
0.476075	75.5004	
0.483399	76.9258	
0.490723	78.1449	
0.498047	79.0933	
0.505372	79.7334	
0.512696	80.076	
0.52002	80.1769	
0.527344	80.1115	
0.534669	79.9393	
0.541993	79.6719	
0.549317	79.2581	
0.556641	78.6171	
0.563965	77.7257	
0.57129	76.673	
0.578614	75.5988	
0.585938	74.6045	
0.593262	73.7348	
0.600587	73.0047	
0.607911	72.4249	
0.615235	72.0095	
0.622559	71.7738	
0.629883	71.7281	
0.637208	71.8735	
0.644532	72.2022	
0.651856	72.7005	
0.65918	73.3542	
0.666505	74.1516	
0.673829	75.0839	
0.681153	76.1428	
0.688477	77.3184	
0.695801	78.5981	
0.703126	79.9694	
0.71045	81.4241	
0.717774	82.9624	
0.725098	84.5941	
0.732423	86.3326	
0.739747	88.1807	
0.747071	90.1085	
0.754395	92.0374	
0.76172	93.8539	
0.769044	95.4612	
0.776368	96.8311	
0.783692	98.0031	
0.791016	99.0404	
0.798341	99.9894	
0.805665	100.869	
0.812989	101.685	
0.820313	102.447	
0.827638	103.187	
0.834962	103.946	
0.842286	104.742	
0.84961	105.532	
0.856934	106.182	
0.864259	106.496	
0.871583	106.313	
0.878907	105.63	
0.886231	104.616	
0.893556	103.519	
0.90088	102.556	
0.908204	101.867	
0.915528	101.514	
0.922852	101.506	
0.930177	101.818	
0.937501	102.417	
0.944825	103.274	
0.952149	104.362	
0.959474	105.645	
0.966798	107.044	
0.974122	108.406	
0.981446	109.507	
0.988771	110.157	
0.996095	110.336	
1.00342	110.233	
1.01074	110.122	
1.01807	110.242	
1.02539	110.753	
1.03272	111.743	
1.04004	113.238	
1.04736	115.184	
1.05469	117.428	
1.06201	119.733	
1.06934	121.961	
1.07666	124.413	
1.08399	128.064	
1.09131	133.357	
1.09863	131.179	
