f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0.234375	13.3929	
0.292969	15.8064	
0.351563	19.1081	
0.410157	23.0714	
0.46875	27.2346	
0.527344	31.0545	
0.585938	34.2931	
0.644532	37.3086	
0.703126	40.7022	
0.76172	44.813	
0.820313	49.5899	
0.878907	54.6106	
0.937501	59.4011	
0.996095	63.9261	
1.05469	68.4004	
