f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	-29.9961	
0.0585938	-16.3889	
0.117188	-5.56231	
0.175781	-1.01668	
0.234375	0.429618	
0.292969	0.6462	
0.351563	0.595268	
0.410157	0.551409	
0.46875	0.506226	
0.527344	0.47343	
0.585938	0.501079	
0.644532	0.55905	
0.703126	0.571584	
0.76172	0.527251	
0.820313	0.441127	
0.878907	0.265559	
0.937501	0.0334929	
0.996095	-0.0143787	
1.05469	0.10706	
1.11328	-0.295548	
1.17188	-1.58204	
1.23047	-3.53992	
1.28906	-7.21131	
1.34766	-8.40841	
1.40625	-0.962928	
1.46485	5.48652	
