f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	0.926548	
0.0585938	1.0019	
0.117188	1.09045	
0.175781	1.12445	
0.234375	1.11025	
0.292969	1.07185	
0.351563	1.02312	
0.410157	0.968727	
0.46875	0.91753	
0.527344	0.886303	
0.585938	0.883923	
0.644532	0.897004	
0.703126	0.893743	
0.76172	0.835502	
0.820313	0.685666	
0.878907	0.435168	
0.937501	0.150682	
0.996095	-0.0463887	
1.05469	-0.0876002	
1.11328	-0.0486722	
1.17188	-0.170163	
1.23047	-0.317864	
1.28906	0.906678	
1.34766	3.68472	
1.40625	3.58965	
1.46485	-11.0465	
