f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	24.1345	
0.0585938	31.4848	
0.117188	36.0947	
0.175781	40.2299	
0.234375	45.5999	
0.292969	52.1515	
0.351563	59.5164	
0.410157	67.2535	
0.46875	74.9441	
0.527344	82.3837	
0.585938	89.6943	
0.644532	97.2343	
0.703126	105.486	
0.76172	114.937	
0.820313	125.779	
0.878907	137.564	
0.937501	149.386	
0.996095	160.534	
1.05469	170.967	
1.11328	181.458	
1.17188	190.524	
1.23047	193.41	
1.28906	193.622	
1.34766	194.791	
1.40625	195.905	
1.46485	198.428	
