f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	14.7386	
0.0585938	23.3082	
0.117188	28.6437	
0.175781	33.0009	
0.234375	38.5066	
0.292969	45.1858	
0.351563	52.6223	
0.410157	60.3153	
0.46875	67.9181	
0.527344	75.4081	
0.585938	82.9268	
0.644532	90.5821	
0.703126	98.5823	
0.76172	107.293	
0.820313	116.672	
0.878907	125.657	
0.937501	133.344	
0.996095	140.513	
1.05469	148.043	
1.11328	155.645	
1.17188	162.736	
1.23047	168.895	
1.28906	174.502	
1.34766	181.74	
1.40625	193.002	
1.46485	208.959	
