f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	11.7954	
0.0585938	20.139	
0.117188	25.2365	
0.175781	29.6291	
0.234375	35.5583	
0.292969	43.1209	
0.351563	51.8047	
0.410157	60.7744	
0.46875	69.5323	
0.527344	78.7521	
0.585938	89.859	
0.644532	103.82	
0.703126	119.533	
0.76172	129.494	
0.820313	127.036	
0.878907	121.565	
0.937501	119.376	
0.996095	121.17	
1.05469	126.971	
1.11328	138.105	
1.17188	158.245	
1.23047	197.509	
1.28906	256.451	
1.34766	196.141	
1.40625	177.764	
1.46485	166.388	
