f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	1.0982	
0.0585938	1.70082	
0.117188	1.91544	
0.175781	1.93046	
0.234375	1.911	
0.292969	1.90548	
0.351563	1.92196	
0.410157	1.94839	
0.46875	1.97293	
0.527344	1.99683	
0.585938	2.02652	
0.644532	2.05915	
0.703126	2.08146	
0.76172	2.07358	
0.820313	2.00668	
0.878907	1.85663	
0.937501	1.64307	
0.996095	1.40605	
1.05469	1.10327	
1.11328	0.612004	
1.17188	-0.0129404	
1.23047	-0.0543638	
1.28906	2.73884	
1.34766	9.67368	
1.40625	13.4264	
1.46485	4.45525	
