f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	1.48478	
0.0585938	2.16844	
0.117188	2.44786	
0.175781	2.4787	
0.234375	2.44689	
0.292969	2.42677	
0.351563	2.43904	
0.410157	2.46761	
0.46875	2.48796	
0.527344	2.49297	
0.585938	2.49176	
0.644532	2.49112	
0.703126	2.48618	
0.76172	2.4589	
0.820313	2.37399	
0.878907	2.19595	
0.937501	1.93622	
0.996095	1.62876	
1.05469	1.21625	
1.11328	0.516926	
1.17188	-0.658128	
1.23047	-2.28181	
1.28906	-3.19769	
1.34766	-2.1784	
1.40625	0.686805	
1.46485	1.2749	
