f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	132.462	
0.0585938	114.428	
0.117188	115.657	
0.175781	123.547	
0.234375	135.632	
0.292969	151.243	
0.351563	167.971	
0.410157	179.157	
0.46875	181.766	
0.527344	181.951	
0.585938	183.313	
0.644532	186.319	
0.703126	191.444	
0.76172	199.568	
0.820313	211.014	
0.878907	224.359	
0.937501	238.376	
0.996095	258.214	
1.05469	308.658	
1.11328	283.395	
1.17188	250.722	
1.23047	236.685	
1.28906	227.249	
1.34766	220.365	
1.40625	219.434	
1.46485	224.654	
