f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	192.022	
0.0585938	120.939	
0.117188	122.791	
0.175781	133.038	
0.234375	147.148	
0.292969	163.804	
0.351563	180.511	
0.410157	192.877	
0.46875	199.259	
0.527344	202.471	
0.585938	204.562	
0.644532	207.015	
0.703126	212.014	
0.76172	221.425	
0.820313	236.338	
0.878907	255.17	
0.937501	267.38	
0.996095	269.734	
1.05469	271.007	
1.11328	264.754	
1.17188	249.782	
1.23047	237.443	
1.28906	233.648	
1.34766	239.882	
1.40625	255.22	
1.46485	262.592	
