f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0.102539	30.0787	
0.109863	31.3732	
0.117188	32.6985	
0.124512	34.0673	
0.131836	35.4756	
0.13916	36.8881	
0.146485	38.2386	
0.153809	39.4449	
0.161133	40.4296	
0.168457	41.1411	
0.175781	41.568	
0.183106	41.7413	
0.19043	41.7245	
0.197754	41.596	
0.205078	41.4321	
0.212403	41.294	
0.219727	41.2233	
0.227051	41.2434	
0.234375	41.3655	
0.241699	41.596	
0.249024	41.9407	
0.256348	42.4045	
0.263672	42.986	
0.270996	43.6713	
0.278321	44.4291	
0.285645	45.2117	
0.292969	45.9607	
0.300293	46.616	
0.307617	47.1266	
0.314942	47.4592	
0.322266	47.6033	
0.32959	47.5719	
0.336914	47.3975	
0.344239	47.1265	
0.351563	46.8132	
0.358887	46.5154	
0.366211	46.2904	
0.373536	46.1906	
0.38086	46.2595	
0.388184	46.5272	
0.395508	47.0076	
0.402832	47.698	
0.410157	48.5804	
0.417481	49.6243	
0.424805	50.7893	
0.432129	52.0285	
0.439454	53.2919	
0.446778	54.5302	
0.454102	55.6992	
0.461426	56.7619	
0.46875	57.6909	
0.476075	58.4688	
0.483399	59.0902	
0.490723	59.563	
0.498047	59.9081	
0.505372	60.157	
0.512696	60.3462	
0.52002	60.5104	
0.527344	60.6766	
0.534669	60.8602	
0.541993	61.0621	
0.549317	61.2704	
0.556641	61.468	
0.563965	61.6499	
0.57129	61.835	
0.578614	62.0565	
0.585938	62.3398	
0.593262	62.6916	
0.600587	63.1015	
0.607911	63.5493	
0.615235	64.0124	
0.622559	64.4718	
0.629883	64.9165	
0.637208	65.3451	
0.644532	65.7651	
0.651856	66.1879	
0.65918	66.6248	
0.666505	67.083	
0.673829	67.5642	
0.681153	68.0661	
0.688477	68.5856	
0.695801	69.1223	
0.703126	69.6825	
0.71045	70.2805	
0.717774	70.9398	
0.725098	71.6904	
0.732423	72.5642	
0.739747	73.5864	
0.747071	74.7613	
0.754395	76.061	
0.76172	77.4263	
0.769044	78.7901	
0.776368	80.1094	
0.783692	81.3808	
0.791016	82.6293	
0.798341	83.8834	
0.805665	85.1524	
0.812989	86.4126	
0.820313	87.6065	
0.827638	88.66	
0.834962	89.5197	
0.842286	90.1894	
0.84961	90.7354	
0.856934	91.2524	
0.864259	91.8149	
0.871583	92.4409	
0.878907	93.0785	
0.886231	93.6152	
0.893556	93.9169	
0.90088	93.8931	
0.908204	93.551	
0.915528	92.9963	
0.922852	92.3801	
0.930177	91.8397	
0.937501	91.4674	
0.944825	91.3082	
0.952149	91.3695	
0.959474	91.6308	
0.966798	92.0485	
0.974122	92.5585	
0.981446	93.0827	
0.988771	93.5493	
0.996095	93.9214	
1.00342	94.2141	
1.01074	94.483	
1.01807	94.7937	
1.02539	95.1971	
1.03272	95.7185	
1.04004	96.3619	
1.04736	97.1192	
1.05469	97.9867	
1.06201	98.9864	
1.06934	100.2	
1.07666	101.829	
1.08399	104.304	
1.09131	108.505	
1.09863	115.919	
