f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	1.54277	
0.0585938	2.53861	
0.117188	2.94127	
0.175781	3.11607	
0.234375	3.24038	
0.292969	3.25484	
0.351563	3.09578	
0.410157	2.78149	
0.46875	2.44288	
0.527344	2.25468	
0.585938	2.30364	
0.644532	2.51511	
0.703126	2.68423	
0.76172	2.58358	
0.820313	2.10807	
0.878907	1.40669	
0.937501	0.85776	
0.996095	0.712067	
1.05469	0.752897	
1.11328	0.359722	
1.17188	-1.19294	
1.23047	-4.22173	
1.28906	-7.23521	
1.34766	-6.9355	
1.40625	-7.83964	
