f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	2.20361	
0.0585938	2.6927	
0.117188	2.78837	
0.175781	2.77226	
0.234375	2.77119	
0.292969	2.76371	
0.351563	2.71297	
0.410157	2.59684	
0.46875	2.41934	
0.527344	2.20942	
0.585938	2.00214	
0.644532	1.81659	
0.703126	1.64242	
0.76172	1.43735	
0.820313	1.14895	
0.878907	0.779388	
0.937501	0.439117	
0.996095	0.236606	
1.05469	0.0832228	
1.11328	-0.394347	
1.17188	-2.04716	
1.23047	-6.8034	
1.64063	-3.85545	
1.69922	-1.81162	
1.81641	-7.37008	
1.875	8.4294	
