f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	1.81637	
0.0585938	2.54128	
0.117188	2.84066	
0.175781	3.00303	
0.234375	3.13789	
0.292969	3.17107	
0.351563	3.03522	
0.410157	2.7479	
0.46875	2.43844	
0.527344	2.27748	
0.585938	2.34671	
0.644532	2.56975	
0.703126	2.74778	
0.76172	2.6654	
0.820313	2.22698	
0.878907	1.58514	
0.937501	1.12977	
0.996095	1.14732	
1.05469	1.46196	
1.11328	1.38458	
1.17188	-0.305564	
1.23047	-5.21131	
1.52344	1.91211	
1.58203	-7.16504	
1.81641	0.558498	
