f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	1.94218	
0.0585938	2.70045	
0.117188	2.92682	
0.175781	2.95224	
0.234375	2.95994	
0.292969	2.94297	
0.351563	2.86914	
0.410157	2.71931	
0.46875	2.50469	
0.527344	2.26561	
0.585938	2.04607	
0.644532	1.86481	
0.703126	1.70041	
0.76172	1.49323	
0.820313	1.17748	
0.878907	0.759397	
0.937501	0.368594	
0.996095	0.10226	
1.05469	-0.220124	
1.11328	-1.09125	
1.17188	-3.13337	
1.23047	-7.12398	
1.64063	-1.52754	
1.69922	-3.8615	
1.75781	-7.28259	
1.81641	7.64689	
