f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	2.09916	
0.0585938	2.65463	
0.117188	2.80975	
0.175781	2.83463	
0.234375	2.85654	
0.292969	2.85037	
0.351563	2.77541	
0.410157	2.61332	
0.46875	2.38707	
0.527344	2.15301	
0.585938	1.96245	
0.644532	1.8273	
0.703126	1.71022	
0.76172	1.53184	
0.820313	1.19956	
0.878907	0.68505	
0.937501	0.111927	
0.996095	-0.330679	
1.05469	-0.600848	
1.11328	-0.875696	
1.17188	-1.75071	
1.23047	-4.91171	
1.64063	-4.26037	
1.69922	-5.06539	
1.75781	-5.08031	
