f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0.102539	12.017	
0.109863	13.9355	
0.117188	15.9899	
0.124512	18.1334	
0.131836	20.293	
0.13916	22.368	
0.146485	24.2414	
0.153809	25.8049	
0.161133	26.99	
0.168457	27.7859	
0.175781	28.2325	
0.183106	28.394	
0.19043	28.3325	
0.197754	28.0939	
0.205078	27.7063	
0.212403	27.1881	
0.219727	26.5579	
0.227051	25.8423	
0.234375	25.0784	
0.241699	24.3119	
0.249024	23.5921	
0.256348	22.9653	
0.263672	22.468	
0.270996	22.1217	
0.278321	21.9309	
0.285645	21.8854	
0.292969	21.9648	
0.300293	22.1447	
0.307617	22.4012	
0.314942	22.7133	
0.322266	23.0645	
0.32959	23.442	
0.336914	23.8373	
0.344239	24.2455	
0.351563	24.6661	
0.358887	25.1016	
0.366211	25.5573	
0.373536	26.039	
0.38086	26.5517	
0.388184	27.0981	
0.395508	27.6782	
0.402832	28.2902	
0.410157	28.9307	
0.417481	29.5959	
0.424805	30.2812	
0.432129	30.9805	
0.439454	31.6858	
0.446778	32.3867	
0.454102	33.0708	
0.461426	33.7233	
0.46875	34.3277	
0.476075	34.867	
0.483399	35.3254	
0.490723	35.6917	
0.498047	35.9625	
0.505372	36.1432	
0.512696	36.2461	
0.52002	36.2853	
0.527344	36.2704	
0.534669	36.1996	
0.541993	36.0584	
0.549317	35.8294	
0.556641	35.5179	
0.563965	35.1735	
0.57129	34.8735	
0.578614	34.6794	
0.585938	34.6145	
0.593262	34.6756	
0.600587	34.8514	
0.607911	35.1322	
0.615235	35.5116	
0.622559	35.9838	
0.629883	36.5414	
0.637208	37.1751	
0.644532	37.8743	
0.651856	38.6299	
0.65918	39.4355	
0.666505	40.2882	
0.673829	41.1869	
0.681153	42.1312	
0.688477	43.12	
0.695801	44.1518	
0.703126	45.2264	
0.71045	46.3465	
0.717774	47.5184	
0.725098	48.749	
0.732423	50.0376	
0.739747	51.3618	
0.747071	52.6617	
0.754395	53.8387	
0.76172	54.7882	
0.769044	55.4566	
0.776368	55.8704	
0.783692	56.1075	
0.791016	56.2465	
0.798341	56.3379	
0.805665	56.402	
0.812989	56.4388	
0.820313	56.4389	
0.827638	56.3933	
0.834962	56.2983	
0.842286	56.1586	
0.84961	55.9858	
0.856934	55.7966	
0.864259	55.6094	
0.871583	55.4428	
0.878907	55.3137	
0.886231	55.2358	
0.893556	55.2186	
0.90088	55.2662	
0.908204	55.3777	
0.915528	55.5472	
0.922852	55.7657	
0.930177	56.0231	
0.937501	56.3106	
0.944825	56.6228	
0.952149	56.9579	
0.959474	57.3175	
0.966798	57.7033	
0.974122	58.113	
0.981446	58.5385	
0.988771	58.9671	
0.996095	59.39	
1.00342	59.8097	
1.01074	60.2404	
1.01807	60.6992	
1.02539	61.1951	
1.03272	61.7239	
1.04004	62.2698	
1.04736	62.8142	
1.05469	63.346	
1.06201	63.8721	
1.06934	64.4268	
1.07666	65.0807	
1.08399	65.9476	
1.09131	67.1591	
1.09863	68.6813	
