f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0.102539	15.651	
0.109863	17.8695	
0.117188	20.2412	
0.124512	22.7303	
0.131836	25.2776	
0.13916	27.7913	
0.146485	30.1439	
0.153809	32.1842	
0.161133	33.7708	
0.168457	34.819	
0.175781	35.3328	
0.183106	35.3968	
0.19043	35.1349	
0.197754	34.6689	
0.205078	34.0942	
0.212403	33.4735	
0.219727	32.841	
0.227051	32.2115	
0.234375	31.5915	
0.241699	30.9897	
0.249024	30.4229	
0.256348	29.9174	
0.263672	29.503	
0.270996	29.2058	
0.278321	29.0415	
0.285645	29.0132	
0.292969	29.1132	
0.300293	29.3268	
0.307617	29.6362	
0.314942	30.0238	
0.322266	30.4731	
0.32959	30.9708	
0.336914	31.5069	
0.344239	32.0761	
0.351563	32.6777	
0.358887	33.3145	
0.366211	33.9912	
0.373536	34.7118	
0.38086	35.4772	
0.388184	36.2838	
0.395508	37.1236	
0.402832	37.9859	
0.410157	38.8585	
0.417481	39.7298	
0.424805	40.5886	
0.432129	41.4248	
0.439454	42.2281	
0.446778	42.9884	
0.454102	43.6954	
0.461426	44.339	
0.46875	44.9094	
0.476075	45.3984	
0.483399	45.8003	
0.490723	46.1144	
0.498047	46.3454	
0.505372	46.5027	
0.512696	46.5983	
0.52002	46.6432	
0.527344	46.6434	
0.534669	46.5986	
0.541993	46.5026	
0.549317	46.3516	
0.556641	46.1581	
0.563965	45.9592	
0.57129	45.8024	
0.578614	45.7195	
0.585938	45.7186	
0.593262	45.7943	
0.600587	45.9406	
0.607911	46.1553	
0.615235	46.439	
0.622559	46.791	
0.629883	47.207	
0.637208	47.6783	
0.644532	48.1933	
0.651856	48.7416	
0.65918	49.3169	
0.666505	49.918	
0.673829	50.5485	
0.681153	51.2141	
0.688477	51.9209	
0.695801	52.674	
0.703126	53.4779	
0.71045	54.3383	
0.717774	55.2637	
0.725098	56.2648	
0.732423	57.3512	
0.739747	58.5202	
0.747071	59.7419	
0.754395	60.948	
0.76172	62.0442	
0.769044	62.9516	
0.776368	63.6476	
0.783692	64.1673	
0.791016	64.5685	
0.798341	64.8978	
0.805665	65.1781	
0.812989	65.4121	
0.820313	65.5938	
0.827638	65.7196	
0.834962	65.7934	
0.842286	65.8262	
0.84961	65.8297	
0.856934	65.8108	
0.864259	65.7698	
0.871583	65.7052	
0.878907	65.6214	
0.886231	65.5338	
0.893556	65.4683	
0.90088	65.4559	
0.908204	65.5248	
0.915528	65.6948	
0.922852	65.9754	
0.930177	66.3674	
0.937501	66.8684	
0.944825	67.4774	
0.952149	68.1979	
0.959474	69.0365	
0.966798	69.996	
0.974122	71.066	
0.981446	72.214	
0.988771	73.3844	
0.996095	74.5108	
1.00342	75.5368	
1.01074	76.4326	
1.01807	77.1972	
1.02539	77.8497	
1.03272	78.4181	
1.04004	78.929	
1.04736	79.3994	
1.05469	79.8342	
1.06201	80.2308	
1.06934	80.592	
1.07666	80.9461	
1.08399	81.3754	
1.09131	82.042	
1.09863	83.154	
